"uploader","view","category","danmuku_n","playfulness","upstream_uploader","upstream_n","upstream_view","downstream_uploader","downstream_n","downstream_view","d_to_view","interaction_mode","interactive_degree"
"观察者网",26.456,"International Affairs",59000,"playful","N/A","N/A","N/A","N/A","N/A","N/A","   2230.11793","Official Only","Low"
"观察者网",14.985,"Ideology Education",141000,"not playful","N/A","N/A","N/A","N/A","N/A","N/A","   9409.40941","Official Only","Low"
"共青团中央",14.878,"Culture and History",39000,"not playful","Non-official","150","50,000","Non-official","300","5,000","   2621.32007","Bidirectional","Bidirectional"
"观察者网",13.377,"International Affairs",30000,"playful","N/A","N/A","N/A","Non-official","10","1,000,000","   2242.65530","Top-Down","One-directional"
"广东共青团",12.892,"National Spirit",84000,"not playful","Official","2","2,500,000","Official & Non-official","20","100,000","   6515.66863","Top-Down","One-directional"
"共青团中央",11.831,"National Achievement",58000,"not playful","Official & Non-official","10","100,000","Non-official","65","1,000","   4902.37512","Bidirectional","Bidirectional"
"观察者网",11.637,"International Affairs",5.6e+07,"playful","N/A","N/A","N/A","N/A","N/A","N/A","4812236.83080","Official Only","Low"
"共青团中央",11.104,"National Achievement",44000,"not playful","N/A","N/A","N/A","N/A","N/A","N/A","   3962.53602","Official Only","Low"
"共青团中央",10.58,"International Affairs",283000,"not playful","N/A","N/A","N/A","Official","100","200,000","  26748.58223","Official Only","Low"
"观察者网",10.28,"International Affairs",162000,"playful","N/A","N/A","N/A","N/A","N/A","N/A","  15758.75486","Official Only","Low"
"观察者网",10.876,"International Affairs",142000,"playful","Non-official","1","100,000","Official & Non-official","17","50,000","  13056.27069","Bidirectional","Bidirectional"
"共青团中央",9.859,"International Affairs",17000,"playful","Official","3","1,000,000","N/A","N/A","N/A","   1724.31281","Official Only","Low"
"共青团中央",9.193,"National Spirit",70000,"not playful","Non-official","1","860,000","Official & Non-official","38","5,000","   7614.48929","Bidirectional","Bidirectional"
"环球时报",9.1,"International Affairs",39000,"playful","N/A","N/A","N/A","Official","100","50,000","   4285.71429","Official Only","Low"
"四川共青团",8.888,"National Spirit",35000,"not playful","Non-official","3","500,000","Non-official","6","600,000","   3937.89379","Bidirectional","Bidirectional"
"广东共青团",8.645,"National Spirit",0,"not playful","N/A","N/A","N/A","N/A","N/A","N/A","      0.00000","Official Only","Low"
"广东共青团",9.447,"National Achievement",43000,"not playful","Non-official","1","100,000","Non-official","8","10,000","   4551.70954","Bidirectional","Bidirectional"
"共青团中央",8.54,"Ideology Education",178000,"not playful","Official & Non-official","20","500,000","Official & Non-official","100","1,000,000","  20843.09133","Bidirectional","Bidirectional"
"浙江共青团",9.259,"Culture and History",77000,"not playful","Non-official","1","100,000","Non-official","7","10,000","   8316.23285","Bidirectional","Bidirectional"
"广东共青团",8.255,"International Affairs",6272,"not playful","Official","1","2,000,000","Official","1","150,000","    759.78195","Official Only","Low"
"共青团中央",8.114,"Ideology Education",36000,"not playful","N/A","N/A","N/A","Official & Non-official","6","100,000","   4436.77594","Top-Down","One-directional"
"共青团中央",8.264,"National Spirit",3545,"playful","N/A","N/A","N/A","N/A","N/A","N/A","    428.96902","Official Only","Low"
"共青团中央",8.241,"Ideology Education",45000,"not playful","Non-official","1","460,000","Non-official","2","8,000","   5460.50237","Bidirectional","Bidirectional"
"共青团中央",7.85,"National Achievement",15000,"not playful","Non-official","1","30,000","Non-official","10","10,000","   1910.82803","Bidirectional","Bidirectional"
"观察者网",8.024,"International Affairs",2996,"playful","N/A","N/A","N/A","N/A","N/A","N/A","    373.37986","Official Only","Low"
"共青团中央",7.294,"Ideology Education",51000,"not playful","Non-official","2","100,000","Non-official","4","10,000","   6992.04826","Bidirectional","Bidirectional"
"共青团中央",7.178,"National Achievement",NA,NA,NA,NA,NA,NA,NA,NA,"           NA",NA,NA
"央视新闻",7.109,"International Affairs",69000,"not playful","N/A","N/A","N/A","N/A","N/A","N/A","   9706.00647","Official Only","Low"
"河南共青团",7.959,"International Affairs",17000,"not playful","N/A","N/A","N/A","N/A","N/A","N/A","   2135.94673","Official Only","Low"
"小央视频",7.406,"International Affairs",18000,"playful","N/A","N/A","N/A","Non-official","7","152,000","   2430.46179","Top-Down","One-directional"
"观察者网",7.018,"International Affairs",31000,"playful","N/A","N/A","N/A","N/A","N/A","N/A","   4417.21288","Official Only","Low"
"观察者网",7.166,"International Affairs",13000,"not playful","N/A","N/A","N/A","Official","2","3,370,000","   1814.12224","Official Only","Low"
"观察者网",6.93,"International Affairs",34000,"not playful","N/A","N/A","N/A","N/A","N/A","N/A","   4906.20491","Official Only","Low"
"河南共青团",7.232,"Culture and History",32000,"not playful","Official","1","498,000","Official & Non-official","7","1,000,000","   4424.77876","Top-Down","One-directional"
