账号名称,视频名称,视频观看量(W),弹幕数（W）,类别分类,风格分类（playful patriotism）,上游视频发布主体,上游视频数量,上游视频浏览量,下游视频发布主体,下游视频数量,下游视频浏览量,所属四类类别
观察者网,“宝贝！中国报道我了！”,2645.6,5.9,（3）政治外交类,playful,N/A,N/A,N/A,N/A,N/A,N/A,
观察者网,骁话一下：印度总碰瓷儿，但为什么中印不能开战？,1498.5,14.1,（5）思想教育、价值观引导类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
共青团中央,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,1487.8,3.9,（4）国家民族历史与文化类,not playful,Non official,150,"50,000",Non-official,300,"5,000",
观察者网,高能！反对在日外国人参政，日本议员狂飙普通话、广东,1337.7,3,（3）政治外交类,playful,N/A,N/A,N/A,Non-official,10,"1,000,000",
广东共青团,全网首个警方抓捕VLOG：这不是演习，子弹已经压满了！,1289.2,8.4,（1）国家、民族精神体现类,not playful,Official,2,"2,500,000",Official & Non-official,20,"100,000",
共青团中央,总理，您听到了吗？飞机再也不用飞两遍了,1183.1,5.8,（2）国家成就类,not playful,Official & Non-official,10,"100,000",Non-official,65,"1,000",
观察者网,美国小男孩接受采访时表示：去他妈的总统,1163.7,5600,（3）政治外交类,playful,N/A,N/A,N/A,N/A,N/A,N/A,
共青团中央,惊了！贴地飞行！中国选手潘玉程500米障碍跑破世界纪录,1110.4,4.4,（2）国家成就类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
共青团中央,【香港真相大起底】暴力乱港实录,1058,28.3,（3）政治外交类,not playful,N/A,N/A,N/A,Official,100,"200,000",
观察者网,【懂点儿啥31】台湾节目点名对线观察者网，我们笑出来了,1028,16.2,（3）政治外交类,playful,N/A,N/A,N/A,N/A,N/A,N/A,
观察者网,【懂点儿啥】中国人早期吹捧印度珍贵言论合集,1087.6,14.2,（3）政治外交类,playful,Non-official,1,"100,000",Official & Non-official,17,"50,000",
共青团中央,香港警察：你们吃面包，我去吃海底捞！结果他们真去,985.9,1.7,（3）政治外交类,playful,Official,3,"1,000,000",N/A,N/A,N/A,
共青团中央,"""你为什么要入党？”“你看你问的……”",919.3,7,（1）国家、民族精神体现类,not playful,Non-official,1,"860,000",Official & Non-official,38,"5,000",
